img_path,label
Dataset/1.JPG,A
Dataset/2.JPG,B
Dataset/3.JPG,C
Dataset/4.JPG,A
Dataset/5.JPG,B
Dataset/6.JPG,A
Dataset/7.JPG,A
Dataset/8.JPG,C
Dataset/9.JPG,C
Dataset/10.JPG,A
Dataset/11.JPG,C
Dataset/12.JPG,A
Dataset/13.JPG,A
Dataset/14.JPG,B
Dataset/15.JPG,B
Dataset/16.JPG,A
Dataset/17.JPG,A
Dataset/18.JPG,B
Dataset/19.JPG,C
Dataset/20.JPG,C
Dataset/21.JPG,A
Dataset/22.JPG,A
Dataset/23.JPG,C
Dataset/24.JPG,A
Dataset/25.JPG,A
Dataset/26.JPG,A
Dataset/27.JPG,A
Dataset/28.JPG,C
Dataset/29.JPG,C
Dataset/30.JPG,C
Dataset/31.JPG,C
Dataset/32.JPG,C
Dataset/33.JPG,A
Dataset/34.JPG,A
Dataset/35.JPG,A
Dataset/36.JPG,B
Dataset/37.JPG,B
Dataset/38.JPG,B
Dataset/39.JPG,A
Dataset/40.JPG,A
Dataset/41.JPG,A
Dataset/42.JPG,A
Dataset/43.JPG,A
Dataset/44.JPG,B
Dataset/45.JPG,A
Dataset/46.JPG,B
Dataset/47.JPG,B
Dataset/48.JPG,A
Dataset/49.JPG,C
Dataset/50.JPG,A
Dataset/51.JPG,A
Dataset/52.JPG,A
Dataset/53.JPG,B
Dataset/54.JPG,C
Dataset/55.JPG,A
Dataset/56.JPG,A
Dataset/57.JPG,C
Dataset/58.JPG,A
Dataset/59.JPG,B
Dataset/60.JPG,C
Dataset/61.JPG,C
Dataset/62.JPG,C
Dataset/63.JPG,B
Dataset/64.JPG,B
Dataset/65.JPG,A
Dataset/66.JPG,B
Dataset/67.JPG,B
Dataset/68.JPG,C
Dataset/69.JPG,C
Dataset/70.JPG,B
Dataset/71.JPG,C
Dataset/72.JPG,B
Dataset/73.JPG,C
Dataset/74.JPG,C
Dataset/75.JPG,C
Dataset/76.JPG,B
Dataset/77.JPG,B
Dataset/78.JPG,B
Dataset/79.JPG,B
Dataset/80.JPG,C
Dataset/81.JPG,A
Dataset/82.JPG,A
Dataset/83.JPG,C
Dataset/84.JPG,B
Dataset/85.JPG,A
Dataset/86.JPG,B
Dataset/87.JPG,B
Dataset/88.JPG,B
Dataset/89.JPG,C
Dataset/90.JPG,A
Dataset/91.JPG,B
Dataset/92.JPG,A
Dataset/93.JPG,B
Dataset/94.JPG,B
Dataset/95.JPG,B
Dataset/96.JPG,A
Dataset/97.JPG,A
Dataset/98.JPG,A
Dataset/99.JPG,C
Dataset/100.JPG,B
Dataset/101.JPG,C
Dataset/102.JPG,B
Dataset/103.JPG,B
Dataset/104.JPG,A
Dataset/105.JPG,A
Dataset/106.JPG,A
Dataset/107.JPG,A
Dataset/108.JPG,B
Dataset/109.JPG,B
Dataset/110.JPG,C
Dataset/111.JPG,C
Dataset/112.JPG,B
Dataset/113.JPG,A
Dataset/114.JPG,A
Dataset/115.JPG,A
Dataset/116.JPG,A
Dataset/117.JPG,B
Dataset/118.JPG,A
Dataset/119.JPG,C
Dataset/120.JPG,B
Dataset/121.JPG,C
Dataset/122.JPG,C
Dataset/123.JPG,B
Dataset/124.JPG,C
Dataset/125.JPG,C
Dataset/126.JPG,C
Dataset/127.JPG,C
Dataset/128.JPG,B
Dataset/129.JPG,A
Dataset/130.JPG,C
Dataset/131.JPG,B
Dataset/132.JPG,C
Dataset/133.JPG,B
Dataset/134.JPG,A
Dataset/135.JPG,C
Dataset/136.JPG,C
Dataset/137.JPG,C
Dataset/138.JPG,C
Dataset/139.JPG,A
Dataset/140.JPG,A
Dataset/141.JPG,C
Dataset/142.JPG,A
Dataset/143.JPG,B
Dataset/144.JPG,A
Dataset/145.JPG,B
Dataset/146.JPG,C
Dataset/147.JPG,B
Dataset/148.JPG,A
Dataset/149.JPG,C
Dataset/150.JPG,A
Dataset/151.JPG,A
Dataset/152.JPG,C
Dataset/153.JPG,B
Dataset/154.JPG,C
Dataset/155.JPG,A
Dataset/156.JPG,A
Dataset/157.JPG,A
Dataset/158.JPG,A
Dataset/159.JPG,B
Dataset/160.JPG,B
Dataset/161.JPG,C
Dataset/162.JPG,C
Dataset/163.JPG,C
Dataset/164.JPG,C
Dataset/165.JPG,C
Dataset/166.JPG,B
Dataset/167.JPG,A
Dataset/168.JPG,A
Dataset/169.JPG,B
Dataset/170.JPG,B
Dataset/171.JPG,C
Dataset/172.JPG,A
Dataset/173.JPG,B
Dataset/174.JPG,B
Dataset/175.JPG,A
Dataset/176.JPG,C
Dataset/177.JPG,B
Dataset/178.JPG,C
Dataset/179.JPG,B
Dataset/180.JPG,A
Dataset/181.JPG,A
Dataset/182.JPG,B
Dataset/183.JPG,A
Dataset/184.JPG,B
Dataset/185.JPG,A
Dataset/186.JPG,C
Dataset/187.JPG,C
Dataset/188.JPG,A
Dataset/189.JPG,A
Dataset/190.JPG,C
Dataset/191.JPG,B
Dataset/192.JPG,A
Dataset/193.JPG,A
Dataset/194.JPG,A
Dataset/195.JPG,B
Dataset/196.JPG,C
Dataset/197.JPG,C
Dataset/198.JPG,C
Dataset/199.JPG,B
Dataset/200.JPG,B
Dataset/201.JPG,A
Dataset/202.JPG,C
Dataset/203.JPG,B
Dataset/204.JPG,B
Dataset/205.JPG,C
Dataset/206.JPG,C
Dataset/207.JPG,C
Dataset/208.JPG,C
Dataset/209.JPG,C
Dataset/210.JPG,C
Dataset/211.JPG,B
Dataset/212.JPG,B
Dataset/213.JPG,C
Dataset/214.JPG,C
Dataset/215.JPG,A
Dataset/216.JPG,C
Dataset/217.JPG,C
Dataset/218.JPG,B
Dataset/219.JPG,A
Dataset/220.JPG,B
Dataset/221.JPG,C
Dataset/222.JPG,A
Dataset/223.JPG,C
Dataset/224.JPG,B
Dataset/225.JPG,A
Dataset/226.JPG,B
Dataset/227.JPG,B
Dataset/228.JPG,A
Dataset/229.JPG,A
Dataset/230.JPG,A
Dataset/231.JPG,B
Dataset/232.JPG,A
Dataset/233.JPG,B
Dataset/234.JPG,B
Dataset/235.JPG,A
Dataset/236.JPG,A
Dataset/237.JPG,B
Dataset/238.JPG,B
Dataset/239.JPG,B
Dataset/240.JPG,B
Dataset/241.JPG,C
Dataset/242.JPG,B
Dataset/243.JPG,B
Dataset/244.JPG,B
Dataset/245.JPG,B
Dataset/246.JPG,C
Dataset/247.JPG,A
Dataset/248.JPG,C
Dataset/249.JPG,C
Dataset/250.JPG,A
Dataset/251.JPG,C
Dataset/252.JPG,C
Dataset/253.JPG,B
Dataset/254.JPG,C
Dataset/255.JPG,C
Dataset/256.JPG,B
Dataset/257.JPG,C
Dataset/258.JPG,C
Dataset/259.JPG,B
Dataset/260.JPG,A
Dataset/261.JPG,A
Dataset/262.JPG,B
Dataset/263.JPG,B
Dataset/264.JPG,C
